# Mastery XP table generated from data/conf/mastery-level.properties
# Columns: level;xp_required_for_next_level;total_xp_to_reach_level
level;xp_required_for_next_level;total_xp_to_reach_level
262;3144000;433161000
263;3156000;436317000
264;3168000;439485000
265;3180000;442665000
266;3192000;445857000
267;3204000;449061000
268;3216000;452277000
269;3228000;455505000
270;3240000;458745000
271;3252000;461997000
272;3264000;465261000
273;3276000;468537000
274;3288000;471825000
275;3300000;475125000
276;3312000;478437000
277;3324000;481761000
278;3336000;485097000
279;3348000;488445000
280;3360000;491805000
281;3372000;495177000
282;3384000;498561000
283;3396000;501957000
284;3408000;505365000
285;3420000;508785000
286;3432000;512217000
287;3444000;515661000
288;3456000;519117000
289;3468000;522585000
290;3480000;526065000
291;3492000;529557000
292;3504000;533061000
293;3516000;536577000
294;3528000;540105000
295;3540000;543645000
296;3552000;547197000
297;3564000;550761000
298;3576000;554337000
299;3588000;557925000
300;3675000;561600000
301;3612000;565212000
302;3624000;568836000
303;3636000;572472000
304;3648000;576120000
305;3660000;579780000
306;3672000;583452000
307;3684000;587136000
308;3696000;590832000
309;3708000;594540000
310;3720000;598260000
311;3732000;601992000
312;3744000;605736000
313;3756000;609492000
314;3768000;613260000
315;3780000;617040000
316;3792000;620832000
317;3804000;624636000
318;3816000;628452000
319;3828000;632280000
320;3840000;636120000
321;3852000;639972000
322;3864000;643836000
323;3876000;647712000
324;3888000;651600000
325;3900000;655500000
326;3912000;659412000
327;3924000;663336000
328;3936000;667272000
329;3948000;671220000
330;3960000;675180000
331;3972000;679152000
332;3984000;683136000
333;3996000;687132000
334;4008000;691140000
335;4020000;695160000
336;4032000;699192000
337;4044000;703236000
338;4056000;707292000
339;4068000;711360000
340;4080000;715440000
341;4092000;719532000
342;4104000;723636000
343;4116000;727752000
344;4128000;731880000
345;4140000;736020000
346;4152000;740172000
347;4164000;744336000
348;4176000;748512000
349;4188000;752700000
350;4200000;756900000
351;4212000;761112000
352;4224000;765336000
353;4236000;769572000
354;4248000;773820000
355;4260000;778080000
356;4272000;782352000
357;4284000;786636000
358;4296000;790932000
359;4308000;795240000
360;4320000;799560000
361;4332000;803892000
362;4344000;808236000
363;4356000;812592000
364;4368000;816960000
365;4380000;821340000
366;4392000;825732000
367;4404000;830136000
368;4416000;834552000
369;4428000;838980000
370;4440000;843420000
371;4452000;847872000
372;4464000;852336000
373;4476000;856812000
374;4488000;861300000
375;4500000;865800000
376;4512000;870312000
377;4524000;874836000
378;4536000;879372000
379;4548000;883920000
380;4560000;888480000
381;4572000;893052000
382;4584000;897636000
383;4596000;902232000
384;4608000;906840000
385;4620000;911460000
386;4632000;916092000
387;4644000;920736000
388;4656000;925392000
389;4668000;930060000
390;4680000;934740000
391;4692000;939432000
392;4704000;944136000
393;4716000;948852000
394;4728000;953580000
395;4740000;958320000
396;4752000;963072000
397;4764000;967836000
398;4776000;972612000
399;4788000;977400000
400;4900000;982300000
401;4812000;987112000
402;4824000;991936000
403;4836000;996772000
404;4848000;1001620000
405;4860000;1006480000
406;4872000;1011352000
407;4884000;1016236000
408;4896000;1021132000
409;4908000;1026040000
410;4920000;1030960000
411;4932000;1035892000
412;4944000;1040836000
413;4956000;1045792000
414;4968000;1050760000
415;4980000;1055740000
416;4992000;1060732000
417;5004000;1065736000
418;5016000;1070752000
419;5028000;1075780000
420;5040000;1080820000
421;5052000;1085872000
422;5064000;1090936000
423;5076000;1096012000
424;5088000;1101100000
425;5100000;1106200000
426;5112000;1111312000
427;5124000;1116436000
428;5136000;1121572000
429;5148000;1126720000
430;5160000;1131880000
431;5172000;1137052000
432;5184000;1142236000
433;5196000;1147432000
434;5208000;1152640000
435;5220000;1157860000
436;5232000;1163092000
437;5244000;1168336000
438;5256000;1173592000
439;5268000;1178860000
440;5280000;1184140000
441;5292000;1189432000
442;5304000;1194736000
443;5316000;1200052000
444;5328000;1205380000
445;5340000;1210720000
446;5352000;1216072000
447;5364000;1221436000
448;5376000;1226812000
449;5388000;1232200000
450;5400000;1237600000
451;5412000;1243012000
452;5424000;1248436000
453;5436000;1253872000
454;5448000;1259320000
455;5460000;1264780000
456;5472000;1270252000
457;5484000;1275736000
458;5496000;1281232000
459;5508000;1286740000
460;5520000;1292260000
461;5532000;1297792000
462;5544000;1303336000
463;5556000;1308892000
464;5568000;1314460000
465;5580000;1320040000
466;5592000;1325632000
467;5604000;1331236000
468;5616000;1336852000
469;5628000;1342480000
470;5640000;1348120000
471;5652000;1353772000
472;5664000;1359436000
473;5676000;1365112000
474;5688000;1370800000
475;5700000;1376500000
476;5712000;1382212000
477;5724000;1387936000
478;5736000;1393672000
479;5748000;1399420000
480;5760000;1405180000
481;5772000;1410952000
482;5784000;1416736000
483;5796000;1422532000
484;5808000;1428340000
485;5820000;1434160000
486;5832000;1439992000
487;5844000;1445836000
488;5856000;1451692000
489;5868000;1457560000
490;5880000;1463440000
491;5892000;1469332000
492;5904000;1475236000
493;5916000;1481152000
494;5928000;1487080000
495;5940000;1493020000
496;5952000;1498972000
497;5964000;1504936000
498;5976000;1510912000
499;5988000;1516900000
500;6125000;1523025000
501;6012000;1529037000
502;6024000;1535061000
503;6036000;1541097000
504;6048000;1547145000
505;6060000;1553205000
506;6072000;1559277000
507;6084000;1565361000
508;6096000;1571457000
509;6108000;1577565000
510;6120000;1583685000
511;6132000;1589817000
512;6144000;1595961000
513;6156000;1602117000
514;6168000;1608285000
515;6180000;1614465000
516;6192000;1620657000
517;6204000;1626861000
518;6216000;1633077000
519;6228000;1639305000
520;6240000;1645545000
521;6252000;1651797000
522;6264000;1658061000
523;6276000;1664337000
524;6288000;1670625000
525;6300000;1676925000
526;6312000;1683237000
527;6324000;1689561000
528;6336000;1695897000
529;6348000;1702245000
530;6360000;1708605000
531;6372000;1714977000
532;6384000;1721361000
533;6396000;1727757000
534;6408000;1734165000
535;6420000;1740585000
536;6432000;1747017000
537;6444000;1753461000
538;6456000;1759917000
539;6468000;1766385000
540;6480000;1772865000
541;6492000;1779357000
542;6504000;1785861000
543;6516000;1792377000
544;6528000;1798905000
545;6540000;1805445000
546;6552000;1811997000
547;6564000;1818561000
548;6576000;1825137000
549;6588000;1831725000
550;6600000;1838325000
551;6612000;1844937000
552;6624000;1851561000
553;6636000;1858197000
554;6648000;1864845000
555;6660000;1871505000
556;6672000;1878177000
557;6684000;1884861000
558;6696000;1891557000
559;6708000;1898265000
560;6720000;1904985000
561;6732000;1911717000
562;6744000;1918461000
563;6756000;1925217000
564;6768000;1931985000
565;6780000;1938765000
566;6792000;1945557000
567;6804000;1952361000
568;6816000;1959177000
569;6828000;1966005000
570;6840000;1972845000
571;6852000;1979697000
572;6864000;1986561000
573;6876000;1993437000
574;6888000;2000325000
575;6900000;2007225000
576;6912000;2014137000
577;6924000;2021061000
578;6936000;2027997000
579;6948000;2034945000
580;6960000;2041905000
581;6972000;2048877000
582;6984000;2055861000
583;6996000;2062857000
584;7008000;2069865000
585;7020000;2076885000
586;7032000;2083917000
587;7044000;2090961000
588;7056000;2098017000
589;7068000;2105085000
590;7080000;2112165000
591;7092000;2119257000
592;7104000;2126361000
593;7116000;2133477000
594;7128000;2140605000
595;7140000;2147745000
596;7152000;2154897000
597;7164000;2162061000
598;7176000;2169237000
599;7188000;2176425000
600;7350000;2183775000
601;7212000;2190987000
602;7224000;2198211000
603;7236000;2205447000
604;7248000;2212695000
605;7260000;2219955000
606;7272000;2227227000
607;7284000;2234511000
608;7296000;2241807000
609;7308000;2249115000
610;7320000;2256435000
611;7332000;2263767000
612;7344000;2271111000
613;7356000;2278467000
614;7368000;2285835000
615;7380000;2293215000
616;7392000;2300607000
617;7404000;2308011000
618;7416000;2315427000
619;7428000;2322855000
620;7440000;2330295000
621;7452000;2337747000
622;7464000;2345211000
623;7476000;2352687000
624;7488000;2360175000
625;7500000;2367675000
626;7512000;2375187000
627;7524000;2382711000
628;7536000;2390247000
629;7548000;2397795000
630;7560000;2405355000
631;7572000;2412927000
632;7584000;2420511000
633;7596000;2428107000
634;7608000;2435715000
635;7620000;2443335000
636;7632000;2450967000
637;7644000;2458611000
638;7656000;2466267000
639;7668000;2473935000
640;7680000;2481615000
641;7692000;2489307000
642;7704000;2497011000
643;7716000;2504727000
644;7728000;2512455000
645;7740000;2520195000
646;7752000;2527947000
647;7764000;2535711000
648;7776000;2543487000
649;7788000;2551275000
650;7800000;2559075000
651;7812000;2566887000
652;7824000;2574711000
653;7836000;2582547000
654;7848000;2590395000
655;7860000;2598255000
656;7872000;2606127000
657;7884000;2614011000
658;7896000;2621907000
659;7908000;2629815000
660;7920000;2637735000
661;7932000;2645667000
662;7944000;2653611000
663;7956000;2661567000
664;7968000;2669535000
665;7980000;2677515000
666;7992000;2685507000
667;8004000;2693511000
668;8016000;2701527000
669;8028000;2709555000
670;8040000;2717595000
671;8052000;2725647000
672;8064000;2733711000
673;8076000;2741787000
674;8088000;2749875000
675;8100000;2757975000
676;8112000;2766087000
677;8124000;2774211000
678;8136000;2782347000
679;8148000;2790495000
680;8160000;2798655000
681;8172000;2806827000
682;8184000;2815011000
683;8196000;2823207000
684;8208000;2831415000
685;8220000;2839635000
686;8232000;2847867000
687;8244000;2856111000
688;8256000;2864367000
689;8268000;2872635000
690;8280000;2880915000
691;8292000;2889207000
692;8304000;2897511000
693;8316000;2905827000
694;8328000;2914155000
695;8340000;2922495000
696;8352000;2930847000
697;8364000;2939211000
698;8376000;2947587000
699;8388000;2955975000
700;8575000;2964550000
701;8412000;2972962000
702;8424000;2981386000
703;8436000;2989822000
704;8448000;2998270000
705;8460000;3006730000
706;8472000;3015202000
707;8484000;3023686000
708;8496000;3032182000
709;8508000;3040690000
710;8520000;3049210000
711;8532000;3057742000
712;8544000;3066286000
713;8556000;3074842000
714;8568000;3083410000
715;8580000;3091990000
716;8592000;3100582000
717;8604000;3109186000
718;8616000;3117802000
719;8628000;3126430000
720;8640000;3135070000
721;8652000;3143722000
722;8664000;3152386000
723;8676000;3161062000
724;8688000;3169750000
725;8700000;3178450000
726;8712000;3187162000
727;8724000;3195886000
728;8736000;3204622000
729;8748000;3213370000
730;8760000;3222130000
731;8772000;3230902000
732;8784000;3239686000
733;8796000;3248482000
734;8808000;3257290000
735;8820000;3266110000
736;8832000;3274942000
737;8844000;3283786000
738;8856000;3292642000
739;8868000;3301510000
740;8880000;3310390000
741;8892000;3319282000
742;8904000;3328186000
743;8916000;3337102000
744;8928000;3346030000
745;8940000;3354970000
746;8952000;3363922000
747;8964000;3372886000
748;8976000;3381862000
749;8988000;3390850000
750;9000000;3399850000
751;9012000;3408862000
752;9024000;3417886000
753;9036000;3426922000
754;9048000;3435970000
755;9060000;3445030000
756;9072000;3454102000
757;9084000;3463186000
758;9096000;3472282000
759;9108000;3481390000
760;9120000;3490510000
761;9132000;3499642000
762;9144000;3508786000
763;9156000;3517942000
764;9168000;3527110000
765;9180000;3536290000
766;9192000;3545482000
767;9204000;3554686000
768;9216000;3563902000
769;9228000;3573130000
770;9240000;3582370000
771;9252000;3591622000
772;9264000;3600886000
773;9276000;3610162000
774;9288000;3619450000
775;9300000;3628750000
776;9312000;3638062000
777;9324000;3647386000
778;9336000;3656722000
779;9348000;3666070000
780;9360000;3675430000
781;9372000;3684802000
782;9384000;3694186000
783;9396000;3703582000
784;9408000;3712990000
785;9420000;3722410000
786;9432000;3731842000
787;9444000;3741286000
788;9456000;3750742000
789;9468000;3760210000
790;9480000;3769690000
791;9492000;3779182000
792;9504000;3788686000
793;9516000;3798202000
794;9528000;3807730000
795;9540000;3817270000
796;9552000;3826822000
797;9564000;3836386000
798;9576000;3845962000
799;9588000;3855550000
800;9800000;3865350000
801;10090000;3875440000
802;10180000;3885620000
803;10270000;3895890000
804;10360000;3906250000
805;10450000;3916700000
806;10540000;3927240000
807;10630000;3937870000
808;10720000;3948590000
809;10810000;3959400000
810;10900000;3970300000
811;10990000;3981290000
812;11080000;3992370000
813;11170000;4003540000
814;11260000;4014800000
815;11350000;4026150000
816;11440000;4037590000
817;11530000;4049120000
818;11620000;4060740000
819;11710000;4072450000
820;11800000;4084250000
821;11890000;4096140000
822;11980000;4108120000
823;12070000;4120190000
824;12160000;4132350000
825;12250000;4144600000
826;12340000;4156940000
827;12430000;4169370000
828;12520000;4181890000
829;12610000;4194500000
830;12700000;4207200000
831;12790000;4219990000
832;12880000;4232870000
833;12970000;4245840000
834;13060000;4258900000
835;13150000;4272050000
836;13240000;4285290000
837;13330000;4298620000
838;13420000;4312040000
839;13510000;4325550000
840;13600000;4339150000
841;13690000;4352840000
842;13780000;4366620000
843;13870000;4380490000
844;13960000;4394450000
845;14050000;4408500000
846;14140000;4422640000
847;14230000;4436870000
848;14320000;4451190000
849;14410000;4465600000
850;14500000;4480100000
851;14590000;4494690000
852;14680000;4509370000
853;14770000;4524140000
854;14860000;4539000000
855;14950000;4553950000
856;15040000;4568990000
857;15130000;4584120000
858;15220000;4599340000
859;15310000;4614650000
860;15400000;4630050000
861;15490000;4645540000
862;15580000;4661120000
863;15670000;4676790000
864;15760000;4692550000
865;15850000;4708400000
866;15940000;4724340000
867;16030000;4740370000
868;16120000;4756490000
869;16210000;4772700000
870;16300000;4789000000
871;16390000;4805390000
872;16480000;4821870000
873;16570000;4838440000
874;16660000;4855100000
875;16750000;4871850000
876;16840000;4888690000
877;16930000;4905620000
878;17020000;4922640000
879;17110000;4939750000
880;17200000;4956950000
881;17290000;4974240000
882;17380000;4991620000
883;17470000;5009090000
884;17560000;5026650000
885;17650000;5044300000
886;17740000;5062040000
887;17830000;5079870000
888;17920000;5097790000
889;18010000;5115800000
890;18100000;5133900000
891;18190000;5152090000
892;18280000;5170370000
893;18370000;5188740000
894;18460000;5207200000
895;18550000;5225750000
896;18640000;5244390000
897;18730000;5263120000
898;18820000;5281940000
899;18910000;5300850000
900;19225000;5320075000
901;19090000;5339165000
902;19180000;5358345000
903;19270000;5377615000
904;19360000;5396975000
905;19450000;5416425000
906;19540000;5435965000
907;19630000;5455595000
908;19720000;5475315000
909;19810000;5495125000
910;19900000;5515025000
911;19990000;5535015000
912;20080000;5555095000
913;20170000;5575265000
914;20260000;5595525000
915;20350000;5615875000
916;20440000;5636315000
917;20530000;5656845000
918;20620000;5677465000
919;20710000;5698175000
920;20800000;5718975000
921;20890000;5739865000
922;20980000;5760845000
923;21070000;5781915000
924;21160000;5803075000
925;21250000;5824325000
926;21340000;5845665000
927;21430000;5867095000
928;21520000;5888615000
929;21610000;5910225000
930;21700000;5931925000
931;21790000;5953715000
932;21880000;5975595000
933;21970000;5997565000
934;22060000;6019625000
935;22150000;6041775000
936;22240000;6064015000
937;22330000;6086345000
938;22420000;6108765000
939;22510000;6131275000
940;22600000;6153875000
941;22690000;6176565000
942;22780000;6199345000
943;22870000;6222215000
944;22960000;6245175000
945;23050000;6268225000
946;23140000;6291365000
947;23230000;6314595000
948;23320000;6337915000
949;23410000;6361325000
950;23500000;6384825000
951;23590000;6408415000
952;23680000;6432095000
953;23770000;6455865000
954;23860000;6479725000
955;23950000;6503675000
956;24040000;6527715000
957;24130000;6551845000
958;24220000;6576065000
959;24310000;6600375000
960;24400000;6624775000
961;24490000;6649265000
962;24580000;6673845000
963;24670000;6698515000
964;24760000;6723275000
965;24850000;6748125000
966;24940000;6773065000
967;25030000;6798095000
968;25120000;6823215000
969;25210000;6848425000
970;25300000;6873725000
971;25390000;6899115000
972;25480000;6924595000
973;25570000;6950165000
974;25660000;6975825000
975;25750000;7001575000
976;25840000;7027415000
977;25930000;7053345000
978;26020000;7079365000
979;26110000;7105475000
980;26200000;7131675000
981;26290000;7157965000
982;26380000;7184345000
983;26470000;7210815000
984;26560000;7237375000
985;26650000;7264025000
986;26740000;7290765000
987;26830000;7317595000
988;26920000;7344515000
989;27010000;7371525000
990;27100000;7398625000
991;27190000;7425815000
992;27280000;7453095000
993;27370000;7480465000
994;27460000;7507925000
995;27550000;7535475000
996;27640000;7563115000
997;27730000;7590845000
998;27820000;7618665000
999;27910000;7646575000
1000;28250000;7674825000
1001;28090000;7702915000
1002;28180000;7731095000
1003;28270000;7759365000
1004;28360000;7787725000
1005;28450000;7816175000
1006;28540000;7844715000
1007;28630000;7873345000
1008;28720000;7902065000
1009;28810000;7930875000
1010;28900000;7959775000
1011;28990000;7988765000
1012;29080000;8017845000
1013;29170000;8047015000
1014;29260000;8076275000
1015;29350000;8105625000
1016;29440000;8135065000
1017;29530000;8164595000
1018;29620000;8194215000
1019;29710000;8223925000
1020;29800000;8253725000
1021;29890000;8283615000
1022;29980000;8313595000
1023;30070000;8343665000
1024;30160000;8373825000
1025;30250000;8404075000
1026;30340000;8434415000
1027;30430000;8464845000
1028;30520000;8495365000
1029;30610000;8525975000
1030;30700000;8556675000
1031;30790000;8587465000
1032;30880000;8618345000
1033;30970000;8649315000
1034;31060000;8680375000
1035;31150000;8711525000
1036;31240000;8742765000
1037;31330000;8774095000
1038;31420000;8805515000
1039;31510000;8837025000
1040;31600000;8868625000
1041;31690000;8900315000
1042;31780000;8932095000
1043;31870000;8963965000
1044;31960000;8995925000
1045;32050000;9027975000
1046;32140000;9060115000
1047;32230000;9092345000
1048;32320000;9124665000
1049;32410000;9157075000
1050;32500000;9189575000
1051;32590000;9222165000
1052;32680000;9254845000
1053;32770000;9287615000
1054;32860000;9320475000
1055;32950000;9353425000
1056;33040000;9386465000
1057;33130000;9419595000
1058;33220000;9452815000
1059;33310000;9486125000
1060;33400000;9519525000
1061;33490000;9553015000
1062;33580000;9586595000
1063;33670000;9620265000
1064;33760000;9654025000
1065;33850000;9687875000
1066;33940000;9721815000
1067;34030000;9755845000
1068;34120000;9789965000
1069;34210000;9824175000
1070;34300000;9858475000
1071;34390000;9892865000
1072;34480000;9927345000
1073;34570000;9961915000
1074;34660000;9996575000
1075;34750000;10031325000
1076;34840000;10066165000
1077;34930000;10101095000
1078;35020000;10136115000
1079;35110000;10171225000
1080;35200000;10206425000
1081;35290000;10241715000
1082;35380000;10277095000
1083;35470000;10312565000
1084;35560000;10348125000
1085;35650000;10383775000
1086;35740000;10419515000
1087;35830000;10455345000
1088;35920000;10491265000
1089;36010000;10527275000
1090;36100000;10563375000
1091;36190000;10599565000
1092;36280000;10635845000
1093;36370000;10672215000
1094;36460000;10708675000
1095;36550000;10745225000
1096;36640000;10781865000
1097;36730000;10818595000
1098;36820000;10855415000
1099;36910000;10892325000
1100;37275000;10929600000
1101;37090000;10966690000
1102;37180000;11003870000
1103;37270000;11041140000
1104;37360000;11078500000
1105;37450000;11115950000
1106;37540000;11153490000
1107;37630000;11191120000
1108;37720000;11228840000
1109;37810000;11266650000
1110;37900000;11304550000
1111;37990000;11342540000
1112;38080000;11380620000
1113;38170000;11418790000
1114;38260000;11457050000
1115;38350000;11495400000
1116;38440000;11533840000
1117;38530000;11572370000
1118;38620000;11610990000
1119;38710000;11649700000
1120;38800000;11688500000
1121;38890000;11727390000
1122;38980000;11766370000
1123;39070000;11805440000
1124;39160000;11844600000
1125;39250000;11883850000
1126;39340000;11923190000
1127;39430000;11962620000
1128;39520000;12002140000
1129;39610000;12041750000
1130;39700000;12081450000
1131;39790000;12121240000
1132;39880000;12161120000
1133;39970000;12201090000
1134;40060000;12241150000
1135;40150000;12281300000
1136;40240000;12321540000
1137;40330000;12361870000
1138;40420000;12402290000
1139;40510000;12442800000
1140;40600000;12483400000
1141;40690000;12524090000
1142;40780000;12564870000
1143;40870000;12605740000
1144;40960000;12646700000
1145;41050000;12687750000
1146;41140000;12728890000
1147;41230000;12770120000
1148;41320000;12811440000
1149;41410000;12852850000
1150;41500000;12894350000
1151;41590000;12935940000
1152;41680000;12977620000
1153;41770000;13019390000
1154;41860000;13061250000
1155;41950000;13103200000
1156;42040000;13145240000
1157;42130000;13187370000
1158;42220000;13229590000
1159;42310000;13271900000
1160;42400000;13314300000
1161;42490000;13356790000
1162;42580000;13399370000
1163;42670000;13442040000
1164;42760000;13484800000
1165;42850000;13527650000
1166;42940000;13570590000
1167;43030000;13613620000
1168;43120000;13656740000
1169;43210000;13699950000
1170;43300000;13743250000
1171;43390000;13786640000
1172;43480000;13830120000
1173;43570000;13873690000
1174;43660000;13917350000
1175;43750000;13961100000
1176;43840000;14004940000
1177;43930000;14048870000
1178;44020000;14092890000
1179;44110000;14137000000
1180;44200000;14181200000
1181;44290000;14225490000
1182;44380000;14269870000
1183;44470000;14314340000
1184;44560000;14358900000
1185;44650000;14403550000
1186;44740000;14448290000
1187;44830000;14493120000
1188;44920000;14538040000
1189;45010000;14583050000
1190;45100000;14628150000
1191;45190000;14673340000
1192;45280000;14718620000
1193;45370000;14763990000
1194;45460000;14809450000
1195;45550000;14855000000
1196;45640000;14900640000
1197;45730000;14946370000
1198;45820000;14992190000
1199;45910000;15038100000
1200;46300000;15084400000
1201;46090000;15130490000
1202;46180000;15176670000
1203;46270000;15222940000
1204;46360000;15269300000
1205;46450000;15315750000
1206;46540000;15362290000
1207;46630000;15408920000
1208;46720000;15455640000
1209;46810000;15502450000
1210;46900000;15549350000
1211;46990000;15596340000
1212;47080000;15643420000
1213;47170000;15690590000
1214;47260000;15737850000
1215;47350000;15785200000
1216;47440000;15832640000
1217;47530000;15880170000
1218;47620000;15927790000
1219;47710000;15975500000
1220;47800000;16023300000
1221;47890000;16071190000
1222;47980000;16119170000
1223;48070000;16167240000
1224;48160000;16215400000
1225;48250000;16263650000
1226;48340000;16311990000
1227;48430000;16360420000
1228;48520000;16408940000
1229;48610000;16457550000
1230;48700000;16506250000
1231;48790000;16555040000
1232;48880000;16603920000
1233;48970000;16652890000
1234;49060000;16701950000
1235;49150000;16751100000
1236;49240000;16800340000
1237;49330000;16849670000
1238;49420000;16899090000
1239;49510000;16948600000
1240;49600000;16998200000
1241;49690000;17047890000
1242;49780000;17097670000
1243;49870000;17147540000
1244;49960000;17197500000
1245;50050000;17247550000
1246;50140000;17297690000
1247;50230000;17347920000
1248;50320000;17398240000
1249;50410000;17448650000
1250;50500000;17499150000
1251;50590000;17549740000
1252;50680000;17600420000
1253;50770000;17651190000
1254;50860000;17702050000
1255;50950000;17753000000
1256;51040000;17804040000
1257;51130000;17855170000
1258;51220000;17906390000
1259;51310000;17957700000
1260;51400000;18009100000
1261;51490000;18060590000
1262;51580000;18112170000
1263;51670000;18163840000
1264;51760000;18215600000
1265;51850000;18267450000
1266;51940000;18319390000
1267;52030000;18371420000
1268;52120000;18423540000
1269;52210000;18475750000
1270;52300000;18528050000
1271;52390000;18580440000
1272;52480000;18632920000
1273;52570000;18685490000
1274;52660000;18738150000
1275;52750000;18790900000
1276;52840000;18843740000
1277;52930000;18896670000
